Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12
4.348,1.116,5.654,5.956,2.478,2.257,1.217,0.6409,2.336,5.071,5.616,5.712
4.705,1.207,5.659,5.931,2.583,2.231,1.145,0.7458,2.505,5.062,5.297,5.77
4.615,1.224,5.654,6.011,2.488,2.2,1.147,0.5481,2.532,5.009,5.314,5.52
4.373,1.079,5.791,5.927,2.516,2.123,1.156,0.5579,2.469,4.988,5.38,5.742
4.507,1.078,5.374,5.906,2.48,2.233,1.118,0.6995,2.399,5.063,5.414,5.348
4.443,1.03,5.773,5.951,2.489,2.106,1.115,0.5103,2.406,5.154,5.482,5.504
4.702,1.111,5.748,6.013,2.529,2.109,1.146,0.6116,2.471,5.01,5.409,5.737
4.592,1.144,5.457,5.876,2.294,2.189,1.169,0.5493,2.379,5.046,5.273,5.447
4.67,1.127,5.608,5.925,2.362,2.292,1.116,0.5151,2.537,5.148,5.438,5.415
4.43,1.075,5.869,5.874,2.458,2.037,1.117,0.6384,2.283,5.081,5.599,5.505
4.498,1.056,5.782,5.89,2.432,2.159,1.199,0.6897,2.415,5.083,5.251,5.419
4.637,1.08,5.664,5.931,2.399,2.061,1.104,0.5688,2.466,5.267,5.269,4.863
4.562,1.167,5.468,5.985,2.483,2.109,1.201,0.5603,2.411,5.067,5.51,5.048
4.576,1.067,5.608,5.906,2.4,2.073,1.152,0.7031,2.262,4.939,5.453,4.849
4.677,1.089,5.847,5.937,2.38,2.058,1.144,0.6433,2.256,5.146,5.508,5.304
4.482,1.028,5.363,5.924,2.268,2.114,1.108,0.6482,2.355,5.126,5.425,5.021
4.55,0.9778,5.582,5.947,2.544,2.068,1.118,0.5579,2.354,4.973,5.339,5.547
4.446,1.066,5.444,5.929,2.361,2.111,1.036,0.6812,2.423,5.024,5.288,5.585
4.612,1.063,5.814,5.9,2.379,2.141,1.068,0.5786,2.288,5.132,5.269,5.536
4.563,0.918,5.428,5.891,2.34,1.954,1.068,0.6348,2.41,5.033,5.347,4.819
4.529,0.9827,5.402,5.895,2.39,2.097,1.097,0.5774,2.375,5.11,5.524,5.319
4.711,0.9631,5.736,5.897,2.371,2.068,0.9717,0.6116,2.422,5.029,5.354,5.728
4.485,1.002,5.685,5.937,2.307,2.065,1.046,0.5359,2.33,5.005,5.399,4.922
4.645,0.8838,5.377,5.803,2.393,2.108,1.028,0.6116,2.393,5.192,5.266,4.878
4.595,1.084,5.731,5.874,2.299,2.05,1.056,0.6152,2.363,5,5.255,5.818
4.504,0.8521,5.645,5.914,2.334,2.107,1.099,0.5298,2.198,4.923,5.359,4.825
4.44,1.047,5.338,5.861,2.301,2.144,0.9485,0.5859,2.336,5.133,5.509,4.952
4.432,0.9375,5.887,5.868,2.352,2.096,0.9729,0.5969,2.363,5.131,5.476,5.746
4.54,1.005,5.675,5.862,2.231,2.01,1.101,0.6909,2.371,5.01,5.276,5.488
4.656,1.029,5.652,5.916,2.341,2.08,1.021,0.6812,2.311,4.998,5.293,5.677
4.636,0.9265,5.638,5.854,2.29,2.072,1.006,0.5713,2.324,5.156,5.53,5.244
4.425,0.9534,5.658,5.859,2.308,2.142,1.068,0.481,2.349,5.162,5.411,5.317
4.49,0.9668,5.424,5.916,2.288,2.025,1.024,0.5261,2.301,5.247,5.417,5.201
4.562,1.003,5.422,5.847,2.139,2.036,1.005,0.5811,2.361,4.923,5.291,5.541
4.65,0.9961,5.636,5.813,2.096,2.155,1.023,0.5066,2.275,5.039,5.344,4.775
4.617,1.016,5.465,5.864,2.223,1.991,0.9973,0.6628,2.394,5.133,5.461,5.554
4.546,0.9644,5.592,5.933,2.263,2.039,1.133,0.5786,2.288,4.913,5.309,5.624
4.362,0.968,5.713,5.82,2.244,2.015,1.066,0.553,2.308,5.084,5.45,5.573
4.438,0.9534,5.381,5.852,2.311,2.041,0.9924,0.5432,2.402,4.988,5.458,5.117
4.501,0.9985,5.404,5.845,2.113,2.039,0.957,0.6714,2.209,4.991,5.521,5.333
4.42,0.9155,5.67,5.854,2.266,1.996,1.077,0.6006,2.406,5.048,5.432,5.457
1.207,2.214,2.908,2.531,0.2515,0.2173,0.1819,0.1428,0.1562,0.9436,0.9546,5.453
1.257,2.251,2.9,2.567,0.1794,0.2112,0.1978,0.04517,0.3577,0.9766,1.096,5.737
1.139,2.297,2.893,2.546,0.2502,0.09521,0.2258,0.1855,0.1477,0.9595,1.029,5.449
1.232,2.201,3.053,2.556,0.2869,0.09521,0.1721,0.1733,0.1855,0.9485,0.9229,5.616
1.25,2.307,2.981,2.361,0.2686,0.06226,0.01831,0.1636,0.1636,1.064,0.9546,5.479
1.154,2.269,2.849,2.437,0.1648,-0.1062,0.0708,0.1746,0.2026,0.9753,0.9473,4.937
1.238,2.314,2.891,2.422,0.2612,0.09766,-0.01587,0.127,0.1428,0.9851,0.9802,4.951
1.219,2.384,3.024,2.487,0.271,0.2783,0.1965,0.009766,0.2734,1.1,0.9448,5.32
1.241,2.393,2.942,2.467,0.1562,0.2588,0.249,0.1648,0.3186,1.038,1.057,5.005
1.249,2.316,2.74,2.357,0.1685,0.1624,0.1501,0.26,0.2222,0.9717,0.9436,5.182
1.178,2.45,2.799,2.339,0.2039,0.08301,0.1318,0.0647,0.1404,0.9802,0.9949,5.602
1.201,2.474,3.022,2.509,0.1892,0.127,0.3528,0.2185,0.2307,1.05,1.01,5.662
1.287,2.205,2.876,2.545,0.1831,0.1318,0.2393,0.06714,0.3333,0.9631,0.9448,5.677
1.216,2.196,2.893,2.573,0.2747,0.1355,0.08301,0.06592,0.2368,0.9448,0.7043,4.91
1.151,2.411,2.783,2.521,0.1733,-0.1758,0.1917,0.1172,0.2405,1.077,1.051,5.171
1.129,2.266,2.706,2.61,0.3198,0.09399,0.08545,0.1489,0.199,0.9802,0.9912,5.256
1.216,2.288,2.87,2.572,0.2661,0.1807,0.2576,0.3113,0.2539,0.9692,1.085,5.316
1.184,2.556,2.905,2.506,0.2429,0.1782,0.2124,0.1575,0.2075,1.027,1.08,4.718
1.156,2.253,3.049,2.611,0.2258,0.2454,0.1379,0.1465,0.332,0.8899,0.9753,5.608
1.178,2.397,3.035,2.538,0.09399,0.2966,0.1514,0.1343,0.2026,0.9583,0.8057,5.553
1.145,2.333,2.976,2.614,0.188,0.1416,0.1868,0.09644,0.2246,0.9143,1.005,5.668
1.293,2.214,2.924,2.708,0.1404,0.2197,0.1428,0.1709,0.116,1.011,1.072,4.827
1.229,2.206,2.782,2.417,0.2344,0.08423,0.1013,0.07812,0.09155,1.01,1.055,5.571
1.178,2.406,3.08,2.687,0.2527,-0.09155,0.1782,0.2612,0.1709,1.222,1.116,5.422
1.201,2.244,2.828,2.588,0.1257,0.03418,0.003662,0.2234,0.2942,0.9839,0.9595,5.61
1.288,2.246,2.823,2.693,0.2417,0.08179,0.1611,0.1416,0.1453,0.8984,0.9094,4.952
1.289,2.371,2.827,2.773,0.2185,-0.08667,0.2039,0.04639,0.2234,0.929,1.072,5.115
1.273,2.264,2.781,2.708,0.1074,0.1453,0.2173,0.1721,0.2759,0.8667,0.957,4.767
1.245,2.18,2.855,2.844,0.2087,0.2075,0.3394,0.1514,0.3198,1.013,0.8691,5.71
1.304,2.354,2.764,2.815,0.1733,0.1538,0.07446,-0.009766,0.1416,0.9778,0.8643,5.135
1.266,2.294,2.854,2.786,0.3088,0.05981,0.2246,0.06714,0.2954,0.9802,0.9778,5.206
1.263,2.195,3.064,2.957,0.2234,0.2148,0.09888,0.1733,0.155,0.9595,1.066,5.521
1.26,2.338,2.808,2.762,0.2124,0.1099,0.1892,0.05127,0.321,1.005,0.8508,4.788
1.548,2.192,2.926,2.717,0.3259,0.1599,0.1501,0.1453,0.2148,1.014,0.8228,5.496
2.385,2.198,3.119,3.724,0.7214,0.1965,0.3149,0.2441,0.531,0.9387,0.9705,5.265
3.059,2.053,3.621,5.443,1.001,0.8081,0.5054,0.3552,0.719,0.9375,0.8899,5.16
3.533,1.93,4.855,5.397,1.2,1.376,0.6482,0.3552,0.99,0.9082,1.019,5.334
3.655,1.741,5.148,5.406,1.262,1.685,0.7312,0.3625,1.224,1.132,1.067,5.553
3.846,1.649,4.977,5.604,1.299,1.918,0.6897,0.4883,1.155,1.445,1.472,5.043
3.931,1.638,5.267,5.641,1.313,2.229,0.7825,0.293,1.29,1.77,1.692,5.209
3.958,1.611,5.162,5.698,1.453,2.034,0.6702,0.4639,1.37,2.307,1.951,4.749
4.181,1.429,5.411,5.656,1.442,2.198,0.7739,0.6201,1.45,2.952,1.982,5.082
3.851,1.362,5.58,5.881,1.469,2.28,0.8313,0.5957,1.404,3.74,2.194,5.162
4.106,1.47,5.58,5.66,1.42,2.239,0.7874,0.5188,1.417,3.942,2.24,4.758
3.966,1.372,5.476,5.612,1.422,2.305,0.7947,0.459,1.394,4.365,2.195,5.535
4.135,1.322,5.129,5.59,1.346,2.283,0.7202,0.5103,1.416,4.736,2.406,5.342
4.02,1.193,5.432,5.841,1.461,2.368,0.7812,0.5164,1.387,5.017,2.512,5.284
4.144,1.035,5.601,5.763,1.46,2.262,0.8655,0.4785,1.335,4.937,2.59,5.458
4,1.077,5.24,5.674,1.34,2.321,0.7947,0.4102,1.404,5.135,2.617,5.4
4.26,1.172,5.458,5.496,1.383,2.253,0.8069,0.3821,1.479,5.106,2.795,5.375
4.265,1.145,5.544,5.806,1.355,2.28,0.7251,0.3418,1.382,4.994,2.731,5.421
4.211,1.066,5.691,5.576,1.392,2.218,0.8862,0.5481,1.359,5.184,2.683,5.354
3.998,1.022,5.171,5.742,1.368,2.38,0.7056,0.4529,1.243,5.015,2.778,5.476
3.947,1.051,5.321,5.826,1.326,2.264,0.8057,0.5505,1.373,5.123,2.716,5.134
4.224,1.068,5.54,5.73,1.364,2.257,0.7214,0.498,1.453,5.215,2.733,5.161
3.976,1.061,5.122,5.8,1.39,2.283,0.7727,0.4358,1.368,5.227,2.777,5.452
4.191,0.9778,5.31,5.581,1.256,2.136,0.8179,0.4285,1.205,5.2,2.726,5.391
3.962,1.077,5.569,5.802,1.384,2.234,0.6726,0.4089,1.465,5.131,2.842,5.509
3.995,1.051,5.448,5.458,1.273,2.344,0.6592,0.4675,1.425,4.933,2.999,4.832
3.96,0.8838,5.176,5.793,1.283,2.135,0.6921,0.5042,1.207,5.046,2.773,5.068
4.021,1.074,5.47,5.677,1.443,2.18,0.7007,0.448,1.292,4.972,2.784,5.199
4.207,1.001,5.278,5.837,1.262,2.181,0.7788,0.3589,1.346,4.966,2.947,5.62
4.136,1.101,5.608,5.519,1.3,2.136,0.7019,0.6531,1.296,5.165,2.784,5.366
3.888,0.8997,5.262,5.693,1.283,2.118,0.7849,0.5627,1.328,5.128,2.838,5.028
4,1.084,5.111,5.505,1.215,2.072,0.7422,0.5017,1.309,5.206,2.827,5.353
3.9,0.9216,5.178,5.461,1.277,2.295,0.7336,0.2075,1.265,5.049,2.783,5.222
4.087,1.075,5.278,5.575,1.281,2.048,0.7141,0.4309,1.318,5.089,2.853,5.505
3.978,1.052,5.691,5.625,1.219,2.107,0.7532,0.4431,1.381,5.021,2.755,5.392
4.103,1.027,5.33,5.505,1.244,2.015,0.7129,0.3699,1.273,5.154,2.915,5.52
4.161,1.049,5.311,5.22,1.215,2.031,0.6726,0.4419,1.204,5.175,2.719,5.092
3.894,1.003,5.667,5.713,1.16,2.052,0.6873,0.3821,1.266,5.077,2.744,4.963
3.976,0.9985,5.52,5.582,1.15,2.063,0.6396,0.2954,1.212,5.054,2.955,5.63
3.94,0.8582,5.044,5.413,1.075,1.763,0.6042,0.4285,1.149,5.054,2.813,5.166
3.787,0.9534,5.194,5.149,1.13,1.862,0.6702,0.4663,1.093,4.961,2.738,5.082
3.806,0.9851,4.954,5.435,1.141,1.906,0.6848,0.3552,1.161,5.026,2.7,4.843
3.834,0.8948,5.773,5.315,1.029,2.017,0.6006,0.4639,1.097,5.16,2.609,5.452
3.796,1.167,5.286,5.25,1.09,1.74,0.6982,0.4138,1.1,5.125,2.593,5.466
3.682,0.8813,5.222,5.543,1.01,1.967,0.6445,0.4175,1.119,5.192,2.654,5.667
3.751,1.005,5.283,5.476,1.018,1.898,0.7019,0.4358,1.113,5.024,2.539,4.803
3.866,0.9229,5.593,5.193,0.9521,1.87,0.509,0.3796,1.058,5.095,2.457,4.812
3.771,1.039,4.957,5.197,0.8618,1.838,0.5176,0.3918,1.102,5.098,2.643,5.397
3.89,0.918,5.134,4.994,1.086,1.748,0.5396,0.3589,0.9851,5.059,2.606,5.299
3.827,0.8411,5.597,5.238,0.9399,1.764,0.5566,0.3235,0.9424,5.017,2.694,5.552
3.669,1.029,5.195,5.344,0.9521,1.705,0.5273,0.3198,0.9302,5.117,2.516,5.327
3.589,0.9009,5.238,5.155,0.8325,1.663,0.5994,0.3894,0.9351,4.889,2.518,5.171
3.789,1.082,5.475,4.871,0.9033,1.542,0.5688,0.2332,1.08,4.945,2.385,5.35
3.556,0.8777,4.949,5.361,0.9045,1.633,0.5225,0.2197,1.036,5.007,2.231,5.42
3.589,0.9387,5.062,4.874,0.8936,1.79,0.5554,0.4248,1.069,5.039,2.444,5.667
3.551,0.9546,5.602,4.773,0.896,1.597,0.4541,0.293,0.9009,5.131,2.551,5.449
3.469,0.9216,5.625,4.797,0.8008,1.525,0.553,0.1819,0.7971,5.052,2.368,4.686
3.7,0.8252,5.507,4.753,0.7324,1.417,0.4541,0.3491,0.9131,5.063,2.406,5.352
3.531,1.016,5.375,5.055,0.7434,1.464,0.4358,0.3552,0.7971,5.072,2.489,5.692
1.361,1.914,3.063,2.565,0.1831,0.1062,0.2576,0.1672,0.08545,0.9448,0.9509,5.693
1.39,1.924,2.896,2.423,0.2185,0.188,0.1111,0.07935,0.1892,0.9216,0.9912,5.641
1.404,1.907,2.953,2.278,0.1953,0.07202,0.2625,0.1013,0.2808,1.023,0.9277,5.042
1.473,1.816,3.213,2.388,0.3198,0.3784,0.06958,-0.002441,0.1953,0.9155,1.039,5.499
1.306,1.687,3.234,2.6,0.2698,0.188,0.02808,0.07324,0.3699,0.8936,1.044,4.865
1.553,1.808,3.103,2.679,0.1697,0.1526,0.271,0.1453,0.1904,0.918,0.9277,5.222
