ID,x,y
1364,-8.647658877,41.1798825
1365,-8.650747902,41.18167088
1366,-8.648634359,41.18199604
1367,-8.647008556,41.18118314
1368,-8.659039495,41.20898436
1369,-8.659852397,41.2070334
1370,-8.660990458,41.20898436
1371,-8.661640779,41.20719598
1372,-8.663266582,41.2086592
1373,-8.663916903,41.20670824
1374,-8.663916903,41.20491986
1375,-8.66180336,41.20557018
1376,-8.661153039,41.2037818
1377,-8.660177557,41.2054076
1378,-8.658876915,41.20361921
1379,-8.663266582,41.2037818
1380,-8.661153039,41.20231857
1381,-8.664404644,41.20231857
1382,-8.662453681,41.20199341
1383,-8.659689816,41.20134309
1384,-8.665705286,41.20410696
1385,-8.665380125,41.20638308
1386,-8.665054965,41.20882178
1387,-8.666843348,41.20491986
1388,-8.666518187,41.20768372
1389,-8.666680767,41.20264373
1390,-8.665542706,41.20118051
1391,-8.663266582,41.20053019
1392,-8.661153039,41.20053019
1393,-8.6622911,41.21012243
1394,-8.664242064,41.21028501
1395,-8.660177557,41.21077275
1396,-8.667005928,41.20118051
1397,-8.665867866,41.19987987
1398,-8.663754323,41.19922955
1399,-8.66180336,41.19906697
1400,-8.659689816,41.19825407
1401,-8.659689816,41.19987987
1402,-8.657576273,41.19857923
1403,-8.658064014,41.20134309
1404,-8.658226594,41.20557018
1405,-8.658226594,41.2078463
1406,-8.658064014,41.21077275
1407,-8.665542706,41.19825407
1408,-8.663266582,41.19760375
1409,-8.660827878,41.19679084
1410,-8.658226594,41.19695342
1411,-8.655137569,41.19679084
1412,-8.654974989,41.21126049
1413,-8.65578789,41.2086592
1414,-8.65595047,41.20573276
1415,-8.65578789,41.20280631
1416,-8.65578789,41.20004245
1417,-8.653674347,41.19841665
1418,-8.651885964,41.19679084
1419,-8.648471779,41.19679084
1420,-8.649935001,41.19971729
1421,-8.653186606,41.20150567
1422,-8.653674347,41.20524502
1423,-8.653349186,41.20898436
1424,-8.650422742,41.21077275
1425,-8.650910482,41.2070334
1426,-8.650910482,41.20426954
1427,-8.647496297,41.20231857
1428,-8.645870494,41.19857923
1429,-8.642293729,41.19662826
1430,-8.63692858,41.19695342
1431,-8.640505346,41.19987987
1432,-8.644082112,41.20296889
1433,-8.647821458,41.20638308
1434,-8.646033075,41.21028501
1435,-8.64294405,41.20719598
1436,-8.640017605,41.21061017
1437,-8.635465358,41.2078463
1438,-8.639204704,41.20524502
1439,-8.635627938,41.20183083
1440,-8.63042537,41.19727858
1441,-8.630913111,41.20150567
1442,-8.634489876,41.20524502
1443,-8.63026279,41.21044759
1444,-8.62424732,41.20963468
1445,-8.628149246,41.2062205
1446,-8.622296357,41.2045947
1447,-8.626035703,41.20199341
1448,-8.626686024,41.19792891
1449,-8.619857653,41.19825407
1450,-8.622946678,41.20053019
1451,-8.615793147,41.20296889
1452,-8.617093789,41.2086592
1453,-8.609777677,41.2086592
1454,-8.676598163,41.19158828
1455,-8.684727176,41.20313147
1456,-8.67480978,41.20752114
1457,-8.688141361,41.18654829
1458,-8.659689816,41.18687345
1459,-8.632864074,41.18589797
1460,-8.611240899,41.19353924
1461,-8.59286933,41.17207864
1462,-8.571571317,41.16037287
1463,-8.574660341,41.17305413
1464,-8.590918367,41.16069803
1465,-8.630100209,41.16004771
1466,-8.645220173,41.16037287
1467,-8.650260161,41.1411884
1469,-8.679036867,41.14232646
1470,-8.688466522,41.15143095
1471,-8.679036867,41.15614578
1473,-8.606200911,41.13988775
1474,-8.574660341,41.1452529
1475,-8.613354443,41.17207864
