horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name
88,1.0,18.0,6.0,250.0,3139.0,14.5,71.0,ford mustang
86,1.0,23.0,4.0,122.0,2220.0,14.0,71.0,mercury capri 2000
90,2.0,28.0,4.0,116.0,2123.0,14.0,71.0,opel 1900
70,2.0,30.0,4.0,79.0,2074.0,19.5,71.0,peugeot 304
76,2.0,30.0,4.0,88.0,2065.0,14.5,71.0,fiat 124b
65,1.0,31.0,4.0,71.0,1773.0,19.0,71.0,toyota corolla 1200
69,3.0,35.0,4.0,72.0,1613.0,18.0,71.0,datsun 1200
60,2.0,27.0,4.0,97.0,1834.0,19.0,71.0,volkswagen model 111
70,1.0,26.0,4.0,91.0,1955.0,20.5,71.0,plymouth cricket
95,3.0,24.0,4.0,113.0,2278.0,15.5,72.0,toyota corona hardtop
80,1.0,25.0,4.0,97.5,2126.0,17.0,72.0,dodge colt hardtop
54,2.0,23.0,4.0,97.0,2254.0,23.5,72.0,volkswagen type 3
90,1.0,20.0,4.0,140.0,2408.0,19.5,72.0,chevrolet vega
86,1.0,21.0,4.0,122.0,2226.0,16.5,72.0,ford pinto runabout
165,1.0,13.0,8.0,350.0,4274.0,12.0,72.0,chevrolet impala
175,1.0,14.0,8.0,400.0,4385.0,12.0,72.0,pontiac catalina
150,1.0,15.0,8.0,318.0,4135.0,13.5,72.0,plymouth fury iii
153,1.0,14.0,8.0,351.0,4129.0,13.0,72.0,ford galaxie 500
150,1.0,17.0,8.0,304.0,3672.0,11.5,72.0,amc ambassador sst
208,1.0,11.0,8.0,429.0,4633.0,11.0,72.0,mercury marquis
155,1.0,13.0,8.0,350.0,4502.0,13.5,72.0,buick lesabre custom
160,1.0,12.0,8.0,350.0,4456.0,13.5,72.0,oldsmobile delta 88 royale
190,1.0,13.0,8.0,400.0,4422.0,12.5,72.0,chrysler newport royal
97,3.0,19.0,3.0,70.0,2330.0,13.5,72.0,mazda rx2 coupe
150,1.0,15.0,8.0,304.0,3892.0,12.5,72.0,amc matador (sw)
150,1.0,13.0,8.0,307.0,4098.0,14.0,72.0,chevrolet chevelle concours (sw)
140,1.0,13.0,8.0,302.0,4294.0,16.0,72.0,ford gran torino (sw)
150,1.0,14.0,8.0,318.0,4077.0,14.0,72.0,plymouth satellite custom (sw)
112,2.0,18.0,4.0,121.0,2933.0,14.5,72.0,volvo 145e (sw)
76,2.0,22.0,4.0,121.0,2511.0,18.0,72.0,volkswagen 411 (sw)
87,2.0,21.0,4.0,120.0,2979.0,19.5,72.0,peugeot 504 (sw)
69,2.0,26.0,4.0,96.0,2189.0,18.0,72.0,renault 12 (sw)
86,1.0,22.0,4.0,122.0,2395.0,16.0,72.0,ford pinto (sw)
92,3.0,28.0,4.0,97.0,2288.0,17.0,72.0,datsun 510 (sw)
97,3.0,23.0,4.0,120.0,2506.0,14.5,72.0,toyouta corona mark ii (sw)
80,1.0,28.0,4.0,98.0,2164.0,15.0,72.0,dodge colt (sw)
88,3.0,27.0,4.0,97.0,2100.0,16.5,72.0,toyota corolla 1600 (sw)
175,1.0,13.0,8.0,350.0,4100.0,13.0,73.0,buick century 350
150,1.0,14.0,8.0,304.0,3672.0,11.5,73.0,amc matador
145,1.0,13.0,8.0,350.0,3988.0,13.0,73.0,chevrolet malibu
137,1.0,14.0,8.0,302.0,4042.0,14.5,73.0,ford gran torino
150,1.0,15.0,8.0,318.0,3777.0,12.5,73.0,dodge coronet custom
198,1.0,12.0,8.0,429.0,4952.0,11.5,73.0,mercury marquis brougham
150,1.0,13.0,8.0,400.0,4464.0,12.0,73.0,chevrolet caprice classic
158,1.0,13.0,8.0,351.0,4363.0,13.0,73.0,ford ltd
150,1.0,14.0,8.0,318.0,4237.0,14.5,73.0,plymouth fury gran sedan
150,1.0,13.0,8.0,440.0,4735.0,11.0,73.0,chrysler new yorker brougham
225,1.0,12.0,8.0,455.0,4951.0,11.0,73.0,buick electra 225 custom
175,1.0,13.0,8.0,360.0,3821.0,11.0,73.0,amc ambassador brougham
105,1.0,18.0,6.0,225.0,3121.0,16.5,73.0,plymouth valiant
100,1.0,16.0,6.0,250.0,3278.0,18.0,73.0,chevrolet nova custom
100,1.0,18.0,6.0,232.0,2945.0,16.0,73.0,amc hornet
88,1.0,18.0,6.0,250.0,3021.0,16.5,73.0,ford maverick
95,1.0,23.0,6.0,198.0,2904.0,16.0,73.0,plymouth duster
46,2.0,26.0,4.0,97.0,1950.0,21.0,73.0,volkswagen super beetle
150,1.0,11.0,8.0,400.0,4997.0,14.0,73.0,chevrolet impala
167,1.0,12.0,8.0,400.0,4906.0,12.5,73.0,ford country
170,1.0,13.0,8.0,360.0,4654.0,13.0,73.0,plymouth custom suburb
180,1.0,12.0,8.0,350.0,4499.0,12.5,73.0,oldsmobile vista cruiser
100,1.0,18.0,6.0,232.0,2789.0,15.0,73.0,amc gremlin
88,3.0,20.0,4.0,97.0,2279.0,19.0,73.0,toyota carina
72,1.0,21.0,4.0,140.0,2401.0,19.5,73.0,chevrolet vega
94,3.0,22.0,4.0,108.0,2379.0,16.5,73.0,datsun 610
90,3.0,18.0,3.0,70.0,2124.0,13.5,73.0,maxda rx3
85,1.0,19.0,4.0,122.0,2310.0,18.5,73.0,ford pinto
107,1.0,21.0,6.0,155.0,2472.0,14.0,73.0,mercury capri v6
150,2.0,26.0,4.0,98.0,2265.0,15.5,73.0,fiat 124 sport coupe
145,1.0,15.0,8.0,350.0,4082.0,13.0,73.0,chevrolet monte carlo s
230,1.0,16.0,8.0,400.0,4278.0,9.5,73.0,pontiac grand prix
49,2.0,29.0,4.0,68.0,1867.0,19.5,73.0,fiat 128
75,2.0,24.0,4.0,116.0,2158.0,15.5,73.0,opel manta
91,2.0,20.0,4.0,114.0,2582.0,14.0,73.0,audi 100ls
112,2.0,19.0,4.0,121.0,2868.0,15.5,73.0,volvo 144ea
150,1.0,15.0,8.0,318.0,3399.0,11.0,73.0,dodge dart custom
110,2.0,24.0,4.0,121.0,2660.0,14.0,73.0,saab 99le
122,3.0,20.0,6.0,156.0,2807.0,13.5,73.0,toyota mark ii
180,1.0,11.0,8.0,350.0,3664.0,11.0,73.0,oldsmobile omega
95,1.0,20.0,6.0,198.0,3102.0,16.5,74.0,plymouth duster
150,1.0,21.0,6.0,200.0,2875.0,17.0,74.0,ford maverick
100,1.0,19.0,6.0,232.0,2901.0,16.0,74.0,amc hornet
100,1.0,15.0,6.0,250.0,3336.0,17.0,74.0,chevrolet nova
67,3.0,31.0,4.0,79.0,1950.0,19.0,74.0,datsun b210
80,1.0,26.0,4.0,122.0,2451.0,16.5,74.0,ford pinto
65,3.0,32.0,4.0,71.0,1836.0,21.0,74.0,toyota corolla 1200
75,1.0,25.0,4.0,140.0,2542.0,17.0,74.0,chevrolet vega
100,1.0,16.0,6.0,250.0,3781.0,17.0,74.0,chevrolet chevelle malibu classic
110,1.0,16.0,6.0,258.0,3632.0,18.0,74.0,amc matador
105,1.0,18.0,6.0,225.0,3613.0,16.5,74.0,plymouth satellite sebring
140,1.0,16.0,8.0,302.0,4141.0,14.0,74.0,ford gran torino
150,1.0,13.0,8.0,350.0,4699.0,14.5,74.0,buick century luxus (sw)
150,1.0,14.0,8.0,318.0,4457.0,13.5,74.0,dodge coronet custom (sw)
140,1.0,14.0,8.0,302.0,4638.0,16.0,74.0,ford gran torino (sw)
150,1.0,14.0,8.0,304.0,4257.0,15.5,74.0,amc matador (sw)
83,2.0,29.0,4.0,98.0,2219.0,16.5,74.0,audi fox
67,1.0,26.0,4.0,79.0,1963.0,15.5,74.0,volkswagen dasher
78,2.0,26.0,4.0,97.0,2300.0,14.5,74.0,opel manta
52,3.0,31.0,4.0,76.0,1649.0,16.5,74.0,toyota corona
61,3.0,32.0,4.0,83.0,2003.0,19.0,74.0,datsun 710
75,1.0,28.0,4.0,90.0,2125.0,14.5,74.0,dodge colt
150,2.0,24.0,4.0,90.0,2108.0,15.5,74.0,fiat 128
75,2.0,26.0,4.0,116.0,2246.0,14.0,74.0,fiat 124 tc
97,3.0,24.0,4.0,120.0,2489.0,15.0,74.0,honda civic
93,3.0,26.0,4.0,108.0,2391.0,15.5,74.0,subaru
67,2.0,31.0,4.0,79.0,2000.0,16.0,74.0,fiat x1.9
95,1.0,19.0,6.0,225.0,3264.0,16.0,75.0,plymouth valiant custom
105,1.0,18.0,6.0,250.0,3459.0,16.0,75.0,chevrolet nova
72,1.0,15.0,6.0,250.0,3432.0,21.0,75.0,mercury monarch
72,1.0,15.0,6.0,250.0,3158.0,19.5,75.0,ford maverick
170,1.0,16.0,8.0,400.0,4668.0,11.5,75.0,pontiac catalina
145,1.0,15.0,8.0,350.0,4440.0,14.0,75.0,chevrolet bel air
150,1.0,16.0,8.0,318.0,4498.0,14.5,75.0,plymouth grand fury
148,1.0,14.0,8.0,351.0,4657.0,13.5,75.0,ford ltd
110,1.0,17.0,6.0,231.0,3907.0,21.0,75.0,buick century
105,1.0,16.0,6.0,250.0,3897.0,18.5,75.0,chevroelt chevelle malibu
110,1.0,15.0,6.0,258.0,3730.0,19.0,75.0,amc matador
95,1.0,18.0,6.0,225.0,3785.0,19.0,75.0,plymouth fury
110,1.0,21.0,6.0,231.0,3039.0,15.0,75.0,buick skyhawk
110,1.0,20.0,8.0,262.0,3221.0,13.5,75.0,chevrolet monza 2+2
129,1.0,13.0,8.0,302.0,3169.0,12.0,75.0,ford mustang ii
150,3.0,29.0,4.0,97.0,2171.0,16.0,75.0,toyota corolla
83,1.0,23.0,4.0,140.0,2639.0,17.0,75.0,ford pinto
100,1.0,20.0,6.0,232.0,2914.0,16.0,75.0,amc gremlin
78,1.0,23.0,4.0,140.0,2592.0,18.5,75.0,pontiac astro
96,3.0,24.0,4.0,134.0,2702.0,13.5,75.0,toyota corona
71,2.0,25.0,4.0,90.0,2223.0,16.5,75.0,volkswagen dasher
97,3.0,24.0,4.0,119.0,2545.0,17.0,75.0,datsun 710
97,1.0,18.0,6.0,171.0,2984.0,14.5,75.0,ford pinto
70,2.0,29.0,4.0,90.0,1937.0,14.0,75.0,volkswagen rabbit
90,1.0,19.0,6.0,232.0,3211.0,17.0,75.0,amc pacer
95,2.0,23.0,4.0,115.0,2694.0,15.0,75.0,audi 100ls
88,1.0,23.0,4.0,120.0,2957.0,17.0,75.0,peugeot 504
98,2.0,22.0,4.0,121.0,2945.0,14.5,75.0,volvo 244dl
115,2.0,25.0,4.0,121.0,2671.0,13.5,75.0,saab 99le
53,3.0,33.0,4.0,91.0,1795.0,17.5,75.0,honda civic cvcc
86,2.0,28.0,4.0,107.0,2464.0,15.5,76.0,fiat 131
81,2.0,25.0,4.0,116.0,2220.0,16.9,76.0,opel 1900
92,1.0,25.0,4.0,140.0,2572.0,14.9,76.0,capri ii
79,1.0,26.0,4.0,98.0,2255.0,17.7,76.0,dodge colt
83,2.0,27.0,4.0,101.0,2202.0,15.3,76.0,renault 12tl
140,1.0,17.5,8.0,305.0,4215.0,13.0,76.0,chevrolet chevelle malibu classic
150,1.0,16.0,8.0,318.0,4190.0,13.0,76.0,dodge coronet brougham
150,1.0,15.5,8.0,304.0,3962.0,13.9,76.0,amc matador
152,1.0,14.5,8.0,351.0,4215.0,12.8,76.0,ford gran torino
100,1.0,22.0,6.0,225.0,3233.0,15.4,76.0,plymouth valiant
105,1.0,22.0,6.0,250.0,3353.0,14.5,76.0,chevrolet nova
81,1.0,24.0,6.0,200.0,3012.0,17.6,76.0,ford maverick
90,1.0,22.5,6.0,232.0,3085.0,17.6,76.0,amc hornet
52,1.0,29.0,4.0,85.0,2035.0,22.2,76.0,chevrolet chevette
60,1.0,24.5,4.0,98.0,2164.0,22.1,76.0,chevrolet woody
70,2.0,29.0,4.0,90.0,1937.0,14.2,76.0,vw rabbit
53,3.0,33.0,4.0,91.0,1795.0,17.4,76.0,honda civic
150,1.0,20.0,6.0,225.0,3651.0,17.7,76.0,dodge aspen se
78,1.0,18.0,6.0,250.0,3574.0,21.0,76.0,ford granada ghia
110,1.0,18.5,6.0,250.0,3645.0,16.2,76.0,pontiac ventura sj
95,1.0,17.5,6.0,258.0,3193.0,17.8,76.0,amc pacer d/l
71,2.0,29.5,4.0,97.0,1825.0,12.2,76.0,volkswagen rabbit
70,3.0,32.0,4.0,85.0,1990.0,17.0,76.0,datsun b-210
75,3.0,28.0,4.0,97.0,2155.0,16.4,76.0,toyota corolla
72,1.0,26.5,4.0,140.0,2565.0,13.6,76.0,ford pinto
102,2.0,20.0,4.0,130.0,3150.0,15.7,76.0,volvo 245
150,1.0,13.0,8.0,318.0,3940.0,13.2,76.0,plymouth volare premier v8
88,1.0,19.0,4.0,120.0,3270.0,21.9,76.0,peugeot 504
108,3.0,19.0,6.0,156.0,2930.0,15.5,76.0,toyota mark ii
120,2.0,16.5,6.0,168.0,3820.0,16.7,76.0,mercedes-benz 280s
180,1.0,16.5,8.0,350.0,4380.0,12.1,76.0,cadillac seville
145,1.0,13.0,8.0,350.0,4055.0,12.0,76.0,chevy c10
130,1.0,13.0,8.0,302.0,3870.0,15.0,76.0,ford f108
150,1.0,13.0,8.0,318.0,3755.0,14.0,76.0,dodge d100
68,3.0,31.5,4.0,98.0,2045.0,18.5,77.0,honda accord cvcc
80,1.0,30.0,4.0,111.0,2155.0,14.8,77.0,buick opel isuzu deluxe
58,2.0,36.0,4.0,79.0,1825.0,18.6,77.0,renault 5 gtl
96,1.0,25.5,4.0,122.0,2300.0,15.5,77.0,plymouth arrow gs
70,3.0,33.5,4.0,85.0,1945.0,16.8,77.0,datsun f-10 hatchback
145,1.0,17.5,8.0,305.0,3880.0,12.5,77.0,chevrolet caprice classic
150,1.0,17.0,8.0,260.0,4060.0,19.0,77.0,oldsmobile cutlass supreme
145,1.0,15.5,8.0,318.0,4140.0,13.7,77.0,dodge monaco brougham
130,1.0,15.0,8.0,302.0,4295.0,14.9,77.0,mercury cougar brougham
110,1.0,17.5,6.0,250.0,3520.0,16.4,77.0,chevrolet concours
105,1.0,20.5,6.0,231.0,3425.0,16.9,77.0,buick skylark
100,1.0,19.0,6.0,225.0,3630.0,17.7,77.0,plymouth volare custom
98,1.0,18.5,6.0,250.0,3525.0,19.0,77.0,ford granada
180,1.0,16.0,8.0,400.0,4220.0,11.1,77.0,pontiac grand prix lj
170,1.0,15.5,8.0,350.0,4165.0,11.4,77.0,chevrolet monte carlo landau
190,1.0,15.5,8.0,400.0,4325.0,12.2,77.0,chrysler cordoba
149,1.0,16.0,8.0,351.0,4335.0,14.5,77.0,ford thunderbird
78,2.0,29.0,4.0,97.0,1940.0,14.5,77.0,volkswagen rabbit custom
88,1.0,24.5,4.0,151.0,2740.0,16.0,77.0,pontiac sunbird coupe
75,3.0,26.0,4.0,97.0,2265.0,18.2,77.0,toyota corolla liftback
89,1.0,25.5,4.0,140.0,2755.0,15.8,77.0,ford mustang ii 2+2
63,1.0,30.5,4.0,98.0,2051.0,17.0,77.0,chevrolet chevette
83,1.0,33.5,4.0,98.0,2075.0,15.9,77.0,dodge colt m/m
67,3.0,30.0,4.0,97.0,1985.0,16.4,77.0,subaru dl
78,2.0,30.5,4.0,97.0,2190.0,14.1,77.0,volkswagen dasher
97,1.0,22.0,6.0,146.0,2815.0,14.5,77.0,datsun 810
110,2.0,21.5,4.0,121.0,2600.0,12.8,77.0,bmw 320i
110,3.0,21.5,3.0,80.0,2720.0,13.5,77.0,mazda rx-4
48,2.0,43.1,4.0,90.0,1985.0,21.5,78.0,volkswagen rabbit custom diesel
66,1.0,36.1,4.0,98.0,1800.0,14.4,78.0,ford fiesta
52,3.0,32.8,4.0,78.0,1985.0,19.4,78.0,mazda glc deluxe
70,3.0,39.4,4.0,85.0,2070.0,18.6,78.0,datsun b210 gx
60,3.0,36.1,4.0,91.0,1800.0,16.4,78.0,honda civic cvcc
110,1.0,19.9,8.0,260.0,3365.0,15.5,78.0,oldsmobile cutlass salon brougham
140,1.0,19.4,8.0,318.0,3735.0,13.2,78.0,dodge diplomat
139,1.0,20.2,8.0,302.0,3570.0,12.8,78.0,mercury monarch ghia
105,1.0,19.2,6.0,231.0,3535.0,19.2,78.0,pontiac phoenix lj
95,1.0,20.5,6.0,200.0,3155.0,18.2,78.0,chevrolet malibu
85,1.0,20.2,6.0,200.0,2965.0,15.8,78.0,ford fairmont (auto)
88,1.0,25.1,4.0,140.0,2720.0,15.4,78.0,ford fairmont (man)
100,1.0,20.5,6.0,225.0,3430.0,17.2,78.0,plymouth volare
90,1.0,19.4,6.0,232.0,3210.0,17.2,78.0,amc concord
105,1.0,20.6,6.0,231.0,3380.0,15.8,78.0,buick century special
85,1.0,20.8,6.0,200.0,3070.0,16.7,78.0,mercury zephyr
110,1.0,18.6,6.0,225.0,3620.0,18.7,78.0,dodge aspen
120,1.0,18.1,6.0,258.0,3410.0,15.1,78.0,amc concord d/l
145,1.0,19.2,8.0,305.0,3425.0,13.2,78.0,chevrolet monte carlo landau
165,1.0,17.7,6.0,231.0,3445.0,13.4,78.0,buick regal sport coupe (turbo)
139,1.0,18.1,8.0,302.0,3205.0,11.2,78.0,ford futura
140,1.0,17.5,8.0,318.0,4080.0,13.7,78.0,dodge magnum xe
68,1.0,30.0,4.0,98.0,2155.0,16.5,78.0,chevrolet chevette
95,3.0,27.5,4.0,134.0,2560.0,14.2,78.0,toyota corona
97,3.0,27.2,4.0,119.0,2300.0,14.7,78.0,datsun 510
75,1.0,30.9,4.0,105.0,2230.0,14.5,78.0,dodge omni
95,3.0,21.1,4.0,134.0,2515.0,14.8,78.0,toyota celica gt liftback
105,1.0,23.2,4.0,156.0,2745.0,16.7,78.0,plymouth sapporo
85,1.0,23.8,4.0,151.0,2855.0,17.6,78.0,oldsmobile starfire sx
97,3.0,23.9,4.0,119.0,2405.0,14.9,78.0,datsun 200-sx
103,2.0,20.3,5.0,131.0,2830.0,15.9,78.0,audi 5000
125,2.0,17.0,6.0,163.0,3140.0,13.6,78.0,volvo 264gl
115,2.0,21.6,4.0,121.0,2795.0,15.7,78.0,saab 99gle
133,2.0,16.2,6.0,163.0,3410.0,15.8,78.0,peugeot 604sl
71,2.0,31.5,4.0,89.0,1990.0,14.9,78.0,volkswagen scirocco
68,3.0,29.5,4.0,98.0,2135.0,16.6,78.0,honda accord lx
115,1.0,21.5,6.0,231.0,3245.0,15.4,79.0,pontiac lemans v6
85,1.0,19.8,6.0,200.0,2990.0,18.2,79.0,mercury zephyr 6
88,1.0,22.3,4.0,140.0,2890.0,17.3,79.0,ford fairmont 4
90,1.0,20.2,6.0,232.0,3265.0,18.2,79.0,amc concord dl 6
110,1.0,20.6,6.0,225.0,3360.0,16.6,79.0,dodge aspen 6
130,1.0,17.0,8.0,305.0,3840.0,15.4,79.0,chevrolet caprice classic
129,1.0,17.6,8.0,302.0,3725.0,13.4,79.0,ford ltd landau
138,1.0,16.5,8.0,351.0,3955.0,13.2,79.0,mercury grand marquis
135,1.0,18.2,8.0,318.0,3830.0,15.2,79.0,dodge st. regis
155,1.0,16.9,8.0,350.0,4360.0,14.9,79.0,buick estate wagon (sw)
142,1.0,15.5,8.0,351.0,4054.0,14.3,79.0,ford country squire (sw)
125,1.0,19.2,8.0,267.0,3605.0,15.0,79.0,chevrolet malibu classic (sw)
150,1.0,18.5,8.0,360.0,3940.0,13.0,79.0,chrysler lebaron town @ country (sw)
71,2.0,31.9,4.0,89.0,1925.0,14.0,79.0,vw rabbit custom
65,3.0,34.1,4.0,86.0,1975.0,15.2,79.0,maxda glc deluxe
80,1.0,35.7,4.0,98.0,1915.0,14.4,79.0,dodge colt hatchback custom
80,1.0,27.4,4.0,121.0,2670.0,15.0,79.0,amc spirit dl
77,2.0,25.4,5.0,183.0,3530.0,20.1,79.0,mercedes benz 300d
125,1.0,23.0,8.0,350.0,3900.0,17.4,79.0,cadillac eldorado
71,2.0,27.2,4.0,141.0,3190.0,24.8,79.0,peugeot 504
90,1.0,23.9,8.0,260.0,3420.0,22.2,79.0,oldsmobile cutlass salon brougham
70,1.0,34.2,4.0,105.0,2200.0,13.2,79.0,plymouth horizon
70,1.0,34.5,4.0,105.0,2150.0,14.9,79.0,plymouth horizon tc3
65,3.0,31.8,4.0,85.0,2020.0,19.2,79.0,datsun 210
69,2.0,37.3,4.0,91.0,2130.0,14.7,79.0,fiat strada custom
90,1.0,28.4,4.0,151.0,2670.0,16.0,79.0,buick skylark limited
115,1.0,28.8,6.0,173.0,2595.0,11.3,79.0,chevrolet citation
115,1.0,26.8,6.0,173.0,2700.0,12.9,79.0,oldsmobile omega brougham
90,1.0,33.5,4.0,151.0,2556.0,13.2,79.0,pontiac phoenix
76,2.0,41.5,4.0,98.0,2144.0,14.7,80.0,vw rabbit
60,3.0,38.1,4.0,89.0,1968.0,18.8,80.0,toyota corolla tercel
70,1.0,32.1,4.0,98.0,2120.0,15.5,80.0,chevrolet chevette
65,3.0,37.2,4.0,86.0,2019.0,16.4,80.0,datsun 310
90,1.0,28.0,4.0,151.0,2678.0,16.5,80.0,chevrolet citation
88,1.0,26.4,4.0,140.0,2870.0,18.1,80.0,ford fairmont
90,1.0,24.3,4.0,151.0,3003.0,20.1,80.0,amc concord
90,1.0,19.1,6.0,225.0,3381.0,18.7,80.0,dodge aspen
78,2.0,34.3,4.0,97.0,2188.0,15.8,80.0,audi 4000
90,3.0,29.8,4.0,134.0,2711.0,15.5,80.0,toyota corona liftback
75,3.0,31.3,4.0,120.0,2542.0,17.5,80.0,mazda 626
92,3.0,37.0,4.0,119.0,2434.0,15.0,80.0,datsun 510 hatchback
75,3.0,32.2,4.0,108.0,2265.0,15.2,80.0,toyota corolla
65,3.0,46.6,4.0,86.0,2110.0,17.9,80.0,mazda glc
105,1.0,27.9,4.0,156.0,2800.0,14.4,80.0,dodge colt
65,3.0,40.8,4.0,85.0,2110.0,19.2,80.0,datsun 210
48,2.0,44.3,4.0,90.0,2085.0,21.7,80.0,vw rabbit c (diesel)
48,2.0,43.4,4.0,90.0,2335.0,23.7,80.0,vw dasher (diesel)
67,2.0,36.4,5.0,121.0,2950.0,19.9,80.0,audi 5000s (diesel)
67,2.0,30.0,4.0,146.0,3250.0,21.8,80.0,mercedes-benz 240d
67,3.0,44.6,4.0,91.0,1850.0,13.8,80.0,honda civic 1500 gl
150,2.0,40.9,4.0,85.0,1835.0,17.3,80.0,renault lecar deluxe
67,3.0,33.8,4.0,97.0,2145.0,18.0,80.0,subaru dl
62,2.0,29.8,4.0,89.0,1845.0,15.3,80.0,vokswagen rabbit
132,3.0,32.7,6.0,168.0,2910.0,11.4,80.0,datsun 280-zx
100,3.0,23.7,3.0,70.0,2420.0,12.5,80.0,mazda rx-7 gs
88,2.0,35.0,4.0,122.0,2500.0,15.1,80.0,triumph tr7 coupe
150,1.0,23.6,4.0,140.0,2905.0,14.3,80.0,ford mustang cobra
72,3.0,32.4,4.0,107.0,2290.0,17.0,80.0,honda accord
84,1.0,27.2,4.0,135.0,2490.0,15.7,81.0,plymouth reliant
84,1.0,26.6,4.0,151.0,2635.0,16.4,81.0,buick skylark
92,1.0,25.8,4.0,156.0,2620.0,14.4,81.0,dodge aries wagon (sw)
110,1.0,23.5,6.0,173.0,2725.0,12.6,81.0,chevrolet citation
84,1.0,30.0,4.0,135.0,2385.0,12.9,81.0,plymouth reliant
58,3.0,39.1,4.0,79.0,1755.0,16.9,81.0,toyota starlet
64,1.0,39.0,4.0,86.0,1875.0,16.4,81.0,plymouth champ
60,3.0,35.1,4.0,81.0,1760.0,16.1,81.0,honda civic 1300
67,3.0,32.3,4.0,97.0,2065.0,17.8,81.0,subaru
65,3.0,37.0,4.0,85.0,1975.0,19.4,81.0,datsun 210 mpg
62,3.0,37.7,4.0,89.0,2050.0,17.3,81.0,toyota tercel
68,3.0,34.1,4.0,91.0,1985.0,16.0,81.0,mazda glc 4
63,1.0,34.7,4.0,105.0,2215.0,14.9,81.0,plymouth horizon 4
