horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,name,other
165,1,14.0,8,350.0,4209,12.0,71,chevrolet impala,2
175,1,14.0,8,400.0,4464,11.5,71,pontiac catalina brougham,2
153,1,14.0,8,351.0,4154,13.5,71,ford galaxie 500,2
150,1,14.0,8,318.0,4096,13.0,71,plymouth fury iii,2
180,1,12.0,8,383.0,4955,11.5,71,dodge monaco (sw),2
170,1,13.0,8,400.0,4746,12.0,71,ford country squire (sw),2
175,1,13.0,8,400.0,5140,12.0,71,pontiac safari (sw),2
150,1,18.0,6,258.0,2962,13.5,71,amc hornet sportabout (sw),2
72,1,22.0,4,140.0,2408,19.0,71,chevrolet vega (sw),2
100,1,19.0,6,250.0,3282,15.0,71,pontiac firebird,2
88,1,18.0,6,250.0,3139,14.5,71,ford mustang,2
86,1,23.0,4,122.0,2220,14.0,71,mercury capri 2000,2
90,2,28.0,4,116.0,2123,14.0,71,opel 1900,2
70,2,30.0,4,79.0,2074,19.5,71,peugeot 304,2
76,2,30.0,4,88.0,2065,14.5,71,fiat 124b,2
65,1,31.0,4,71.0,1773,19.0,71,toyota corolla 1200,2
69,3,35.0,4,72.0,1613,18.0,71,datsun 1200,2
60,2,27.0,4,97.0,1834,19.0,71,volkswagen model 111,2
70,1,26.0,4,91.0,1955,20.5,71,plymouth cricket,2
95,3,24.0,4,113.0,2278,15.5,72,toyota corona hardtop,2
80,1,25.0,4,97.5,2126,17.0,72,dodge colt hardtop,2
54,2,23.0,4,97.0,2254,23.5,72,volkswagen type 3,2
90,1,20.0,4,140.0,2408,19.5,72,chevrolet vega,2
86,1,21.0,4,122.0,2226,16.5,72,ford pinto runabout,2
165,1,13.0,8,350.0,4274,12.0,72,chevrolet impala,2
175,1,14.0,8,400.0,4385,12.0,72,pontiac catalina,2
150,1,15.0,8,318.0,4135,13.5,72,plymouth fury iii,2
153,1,14.0,8,351.0,4129,13.0,72,ford galaxie 500,2
150,1,17.0,8,304.0,3672,11.5,72,amc ambassador sst,2
208,1,11.0,8,429.0,4633,11.0,72,mercury marquis,2
155,1,13.0,8,350.0,4502,13.5,72,buick lesabre custom,2
160,1,12.0,8,350.0,4456,13.5,72,oldsmobile delta 88 royale,2
190,1,13.0,8,400.0,4422,12.5,72,chrysler newport royal,2
97,3,19.0,3,70.0,2330,13.5,72,mazda rx2 coupe,2
150,1,15.0,8,304.0,3892,12.5,72,amc matador (sw),2
150,1,13.0,8,307.0,4098,14.0,72,chevrolet chevelle concours (sw),2
140,1,13.0,8,302.0,4294,16.0,72,ford gran torino (sw),2
150,1,14.0,8,318.0,4077,14.0,72,plymouth satellite custom (sw),2
112,2,18.0,4,121.0,2933,14.5,72,volvo 145e (sw),2
76,2,22.0,4,121.0,2511,18.0,72,volkswagen 411 (sw),2
87,2,21.0,4,120.0,2979,19.5,72,peugeot 504 (sw),2
69,2,26.0,4,96.0,2189,18.0,72,renault 12 (sw),2
86,1,22.0,4,122.0,2395,16.0,72,ford pinto (sw),2
92,3,28.0,4,97.0,2288,17.0,72,datsun 510 (sw),2
97,3,23.0,4,120.0,2506,14.5,72,toyouta corona mark ii (sw),2
80,1,28.0,4,98.0,2164,15.0,72,dodge colt (sw),2
88,3,27.0,4,97.0,2100,16.5,72,toyota corolla 1600 (sw),2
175,1,13.0,8,350.0,4100,13.0,73,buick century 350,2
150,1,14.0,8,304.0,3672,11.5,73,amc matador,2
145,1,13.0,8,350.0,3988,13.0,73,chevrolet malibu,2
137,1,14.0,8,302.0,4042,14.5,73,ford gran torino,2
150,1,15.0,8,318.0,3777,12.5,73,dodge coronet custom,2
198,1,12.0,8,429.0,4952,11.5,73,mercury marquis brougham,2
150,1,13.0,8,400.0,4464,12.0,73,chevrolet caprice classic,2
158,1,13.0,8,351.0,4363,13.0,73,ford ltd,2
150,1,14.0,8,318.0,4237,14.5,73,plymouth fury gran sedan,2
150,1,13.0,8,440.0,4735,11.0,73,chrysler new yorker brougham,2
225,1,12.0,8,455.0,4951,11.0,73,buick electra 225 custom,2
175,1,13.0,8,360.0,3821,11.0,73,amc ambassador brougham,2
105,1,18.0,6,225.0,3121,16.5,73,plymouth valiant,2
100,1,16.0,6,250.0,3278,18.0,73,chevrolet nova custom,2
100,1,18.0,6,232.0,2945,16.0,73,amc hornet,2
88,1,18.0,6,250.0,3021,16.5,73,ford maverick,2
95,1,23.0,6,198.0,2904,16.0,73,plymouth duster,2
46,2,26.0,4,97.0,1950,21.0,73,volkswagen super beetle,2
150,1,11.0,8,400.0,4997,14.0,73,chevrolet impala,2
167,1,12.0,8,400.0,4906,12.5,73,ford country,2
170,1,13.0,8,360.0,4654,13.0,73,plymouth custom suburb,2
180,1,12.0,8,350.0,4499,12.5,73,oldsmobile vista cruiser,2
100,1,18.0,6,232.0,2789,15.0,73,amc gremlin,2
88,3,20.0,4,97.0,2279,19.0,73,toyota carina,2
72,1,21.0,4,140.0,2401,19.5,73,chevrolet vega,2
94,3,22.0,4,108.0,2379,16.5,73,datsun 610,2
90,3,18.0,3,70.0,2124,13.5,73,maxda rx3,2
85,1,19.0,4,122.0,2310,18.5,73,ford pinto,2
107,1,21.0,6,155.0,2472,14.0,73,mercury capri v6,2
150,2,26.0,4,98.0,2265,15.5,73,fiat 124 sport coupe,2
145,1,15.0,8,350.0,4082,13.0,73,chevrolet monte carlo s,2
230,1,16.0,8,400.0,4278,9.5,73,pontiac grand prix,2
49,2,29.0,4,68.0,1867,19.5,73,fiat 128,2
75,2,24.0,4,116.0,2158,15.5,73,opel manta,2
91,2,20.0,4,114.0,2582,14.0,73,audi 100ls,2
112,2,19.0,4,121.0,2868,15.5,73,volvo 144ea,2
150,1,15.0,8,318.0,3399,11.0,73,dodge dart custom,2
110,2,24.0,4,121.0,2660,14.0,73,saab 99le,2
122,3,20.0,6,156.0,2807,13.5,73,toyota mark ii,2
180,1,11.0,8,350.0,3664,11.0,73,oldsmobile omega,2
95,1,20.0,6,198.0,3102,16.5,74,plymouth duster,2
150,1,21.0,6,200.0,2875,17.0,74,ford maverick,2
100,1,19.0,6,232.0,2901,16.0,74,amc hornet,2
100,1,15.0,6,250.0,3336,17.0,74,chevrolet nova,2
67,3,31.0,4,79.0,1950,19.0,74,datsun b210,2
80,1,26.0,4,122.0,2451,16.5,74,ford pinto,2
65,3,32.0,4,71.0,1836,21.0,74,toyota corolla 1200,2
75,1,25.0,4,140.0,2542,17.0,74,chevrolet vega,2
100,1,16.0,6,250.0,3781,17.0,74,chevrolet chevelle malibu classic,2
110,1,16.0,6,258.0,3632,18.0,74,amc matador,2
105,1,18.0,6,225.0,3613,16.5,74,plymouth satellite sebring,2
140,1,16.0,8,302.0,4141,14.0,74,ford gran torino,2
150,1,13.0,8,350.0,4699,14.5,74,buick century luxus (sw),2
150,1,14.0,8,318.0,4457,13.5,74,dodge coronet custom (sw),2
140,1,14.0,8,302.0,4638,16.0,74,ford gran torino (sw),2
150,1,14.0,8,304.0,4257,15.5,74,amc matador (sw),2
83,2,29.0,4,98.0,2219,16.5,74,audi fox,2
67,1,26.0,4,79.0,1963,15.5,74,volkswagen dasher,2
78,2,26.0,4,97.0,2300,14.5,74,opel manta,2
52,3,31.0,4,76.0,1649,16.5,74,toyota corona,2
61,3,32.0,4,83.0,2003,19.0,74,datsun 710,2
75,1,28.0,4,90.0,2125,14.5,74,dodge colt,2
150,2,24.0,4,90.0,2108,15.5,74,fiat 128,2
75,2,26.0,4,116.0,2246,14.0,74,fiat 124 tc,2
97,3,24.0,4,120.0,2489,15.0,74,honda civic,2
93,3,26.0,4,108.0,2391,15.5,74,subaru,2
67,2,31.0,4,79.0,2000,16.0,74,fiat x1.9,2
95,1,19.0,6,225.0,3264,16.0,75,plymouth valiant custom,2
105,1,18.0,6,250.0,3459,16.0,75,chevrolet nova,2
72,1,15.0,6,250.0,3432,21.0,75,mercury monarch,2
72,1,15.0,6,250.0,3158,19.5,75,ford maverick,2
170,1,16.0,8,400.0,4668,11.5,75,pontiac catalina,2
145,1,15.0,8,350.0,4440,14.0,75,chevrolet bel air,2
150,1,16.0,8,318.0,4498,14.5,75,plymouth grand fury,2
148,1,14.0,8,351.0,4657,13.5,75,ford ltd,2
110,1,17.0,6,231.0,3907,21.0,75,buick century,2
105,1,16.0,6,250.0,3897,18.5,75,chevroelt chevelle malibu,2
110,1,15.0,6,258.0,3730,19.0,75,amc matador,2
95,1,18.0,6,225.0,3785,19.0,75,plymouth fury,2
110,1,21.0,6,231.0,3039,15.0,75,buick skyhawk,2
110,1,20.0,8,262.0,3221,13.5,75,chevrolet monza 2+2,2
129,1,13.0,8,302.0,3169,12.0,75,ford mustang ii,2
150,3,29.0,4,97.0,2171,16.0,75,toyota corolla,2
83,1,23.0,4,140.0,2639,17.0,75,ford pinto,2
100,1,20.0,6,232.0,2914,16.0,75,amc gremlin,2
78,1,23.0,4,140.0,2592,18.5,75,pontiac astro,2
96,3,24.0,4,134.0,2702,13.5,75,toyota corona,2
71,2,25.0,4,90.0,2223,16.5,75,volkswagen dasher,2
97,3,24.0,4,119.0,2545,17.0,75,datsun 710,2
97,1,18.0,6,171.0,2984,14.5,75,ford pinto,2
70,2,29.0,4,90.0,1937,14.0,75,volkswagen rabbit,2
90,1,19.0,6,232.0,3211,17.0,75,amc pacer,2
95,2,23.0,4,115.0,2694,15.0,75,audi 100ls,2
88,1,23.0,4,120.0,2957,17.0,75,peugeot 504,2
98,2,22.0,4,121.0,2945,14.5,75,volvo 244dl,2
115,2,25.0,4,121.0,2671,13.5,75,saab 99le,2
53,3,33.0,4,91.0,1795,17.5,75,honda civic cvcc,2
86,2,28.0,4,107.0,2464,15.5,76,fiat 131,2
81,2,25.0,4,116.0,2220,16.9,76,opel 1900,2
92,1,25.0,4,140.0,2572,14.9,76,capri ii,2
79,1,26.0,4,98.0,2255,17.7,76,dodge colt,2
83,2,27.0,4,101.0,2202,15.3,76,renault 12tl,2
140,1,17.5,8,305.0,4215,13.0,76,chevrolet chevelle malibu classic,2
150,1,16.0,8,318.0,4190,13.0,76,dodge coronet brougham,2
150,1,15.5,8,304.0,3962,13.9,76,amc matador,2
152,1,14.5,8,351.0,4215,12.8,76,ford gran torino,2
100,1,22.0,6,225.0,3233,15.4,76,plymouth valiant,2
105,1,22.0,6,250.0,3353,14.5,76,chevrolet nova,2
81,1,24.0,6,200.0,3012,17.6,76,ford maverick,2
90,1,22.5,6,232.0,3085,17.6,76,amc hornet,2
52,1,29.0,4,85.0,2035,22.2,76,chevrolet chevette,2
60,1,24.5,4,98.0,2164,22.1,76,chevrolet woody,2
70,2,29.0,4,90.0,1937,14.2,76,vw rabbit,2
53,3,33.0,4,91.0,1795,17.4,76,honda civic,2
150,1,20.0,6,225.0,3651,17.7,76,dodge aspen se,2
78,1,18.0,6,250.0,3574,21.0,76,ford granada ghia,2
110,1,18.5,6,250.0,3645,16.2,76,pontiac ventura sj,2
95,1,17.5,6,258.0,3193,17.8,76,amc pacer d/l,2
71,2,29.5,4,97.0,1825,12.2,76,volkswagen rabbit,2
70,3,32.0,4,85.0,1990,17.0,76,datsun b-210,2
75,3,28.0,4,97.0,2155,16.4,76,toyota corolla,2
72,1,26.5,4,140.0,2565,13.6,76,ford pinto,2
102,2,20.0,4,130.0,3150,15.7,76,volvo 245,2
150,1,13.0,8,318.0,3940,13.2,76,plymouth volare premier v8,2
88,1,19.0,4,120.0,3270,21.9,76,peugeot 504,2
108,3,19.0,6,156.0,2930,15.5,76,toyota mark ii,2
120,2,16.5,6,168.0,3820,16.7,76,mercedes-benz 280s,2
180,1,16.5,8,350.0,4380,12.1,76,cadillac seville,2
145,1,13.0,8,350.0,4055,12.0,76,chevy c10,2
130,1,13.0,8,302.0,3870,15.0,76,ford f108,2
150,1,13.0,8,318.0,3755,14.0,76,dodge d100,2
68,3,31.5,4,98.0,2045,18.5,77,honda accord cvcc,2
80,1,30.0,4,111.0,2155,14.8,77,buick opel isuzu deluxe,2
58,2,36.0,4,79.0,1825,18.6,77,renault 5 gtl,2
96,1,25.5,4,122.0,2300,15.5,77,plymouth arrow gs,2
70,3,33.5,4,85.0,1945,16.8,77,datsun f-10 hatchback,2
145,1,17.5,8,305.0,3880,12.5,77,chevrolet caprice classic,2
150,1,17.0,8,260.0,4060,19.0,77,oldsmobile cutlass supreme,2
145,1,15.5,8,318.0,4140,13.7,77,dodge monaco brougham,2
130,1,15.0,8,302.0,4295,14.9,77,mercury cougar brougham,2
110,1,17.5,6,250.0,3520,16.4,77,chevrolet concours,2
105,1,20.5,6,231.0,3425,16.9,77,buick skylark,2
100,1,19.0,6,225.0,3630,17.7,77,plymouth volare custom,2
98,1,18.5,6,250.0,3525,19.0,77,ford granada,2
180,1,16.0,8,400.0,4220,11.1,77,pontiac grand prix lj,2
170,1,15.5,8,350.0,4165,11.4,77,chevrolet monte carlo landau,2
190,1,15.5,8,400.0,4325,12.2,77,chrysler cordoba,2
149,1,16.0,8,351.0,4335,14.5,77,ford thunderbird,2
78,2,29.0,4,97.0,1940,14.5,77,volkswagen rabbit custom,2
88,1,24.5,4,151.0,2740,16.0,77,pontiac sunbird coupe,2
75,3,26.0,4,97.0,2265,18.2,77,toyota corolla liftback,2
89,1,25.5,4,140.0,2755,15.8,77,ford mustang ii 2+2,2
63,1,30.5,4,98.0,2051,17.0,77,chevrolet chevette,2
83,1,33.5,4,98.0,2075,15.9,77,dodge colt m/m,2
67,3,30.0,4,97.0,1985,16.4,77,subaru dl,2
78,2,30.5,4,97.0,2190,14.1,77,volkswagen dasher,2
97,1,22.0,6,146.0,2815,14.5,77,datsun 810,2
110,2,21.5,4,121.0,2600,12.8,77,bmw 320i,2
110,3,21.5,3,80.0,2720,13.5,77,mazda rx-4,2
48,2,43.1,4,90.0,1985,21.5,78,volkswagen rabbit custom diesel,2
66,1,36.1,4,98.0,1800,14.4,78,ford fiesta,2
52,3,32.8,4,78.0,1985,19.4,78,mazda glc deluxe,2
70,3,39.4,4,85.0,2070,18.6,78,datsun b210 gx,2
60,3,36.1,4,91.0,1800,16.4,78,honda civic cvcc,2
110,1,19.9,8,260.0,3365,15.5,78,oldsmobile cutlass salon brougham,2
140,1,19.4,8,318.0,3735,13.2,78,dodge diplomat,2
139,1,20.2,8,302.0,3570,12.8,78,mercury monarch ghia,2
105,1,19.2,6,231.0,3535,19.2,78,pontiac phoenix lj,2
95,1,20.5,6,200.0,3155,18.2,78,chevrolet malibu,2
85,1,20.2,6,200.0,2965,15.8,78,ford fairmont (auto),2
88,1,25.1,4,140.0,2720,15.4,78,ford fairmont (man),2
100,1,20.5,6,225.0,3430,17.2,78,plymouth volare,2
90,1,19.4,6,232.0,3210,17.2,78,amc concord,2
105,1,20.6,6,231.0,3380,15.8,78,buick century special,2
85,1,20.8,6,200.0,3070,16.7,78,mercury zephyr,2
110,1,18.6,6,225.0,3620,18.7,78,dodge aspen,2
120,1,18.1,6,258.0,3410,15.1,78,amc concord d/l,2
145,1,19.2,8,305.0,3425,13.2,78,chevrolet monte carlo landau,2
165,1,17.7,6,231.0,3445,13.4,78,buick regal sport coupe (turbo),2
139,1,18.1,8,302.0,3205,11.2,78,ford futura,2
140,1,17.5,8,318.0,4080,13.7,78,dodge magnum xe,2
68,1,30.0,4,98.0,2155,16.5,78,chevrolet chevette,2
95,3,27.5,4,134.0,2560,14.2,78,toyota corona,2
97,3,27.2,4,119.0,2300,14.7,78,datsun 510,2
75,1,30.9,4,105.0,2230,14.5,78,dodge omni,2
95,3,21.1,4,134.0,2515,14.8,78,toyota celica gt liftback,2
105,1,23.2,4,156.0,2745,16.7,78,plymouth sapporo,2
85,1,23.8,4,151.0,2855,17.6,78,oldsmobile starfire sx,2
97,3,23.9,4,119.0,2405,14.9,78,datsun 200-sx,2
103,2,20.3,5,131.0,2830,15.9,78,audi 5000,2
125,2,17.0,6,163.0,3140,13.6,78,volvo 264gl,2
115,2,21.6,4,121.0,2795,15.7,78,saab 99gle,2
133,2,16.2,6,163.0,3410,15.8,78,peugeot 604sl,2
71,2,31.5,4,89.0,1990,14.9,78,volkswagen scirocco,2
68,3,29.5,4,98.0,2135,16.6,78,honda accord lx,2
115,1,21.5,6,231.0,3245,15.4,79,pontiac lemans v6,2
85,1,19.8,6,200.0,2990,18.2,79,mercury zephyr 6,2
88,1,22.3,4,140.0,2890,17.3,79,ford fairmont 4,2
90,1,20.2,6,232.0,3265,18.2,79,amc concord dl 6,2
110,1,20.6,6,225.0,3360,16.6,79,dodge aspen 6,2
130,1,17.0,8,305.0,3840,15.4,79,chevrolet caprice classic,2
129,1,17.6,8,302.0,3725,13.4,79,ford ltd landau,2
138,1,16.5,8,351.0,3955,13.2,79,mercury grand marquis,2
135,1,18.2,8,318.0,3830,15.2,79,dodge st. regis,2
155,1,16.9,8,350.0,4360,14.9,79,buick estate wagon (sw),2
142,1,15.5,8,351.0,4054,14.3,79,ford country squire (sw),2
125,1,19.2,8,267.0,3605,15.0,79,chevrolet malibu classic (sw),2
150,1,18.5,8,360.0,3940,13.0,79,chrysler lebaron town @ country (sw),2
71,2,31.9,4,89.0,1925,14.0,79,vw rabbit custom,2
65,3,34.1,4,86.0,1975,15.2,79,maxda glc deluxe,2
80,1,35.7,4,98.0,1915,14.4,79,dodge colt hatchback custom,2
80,1,27.4,4,121.0,2670,15.0,79,amc spirit dl,2
77,2,25.4,5,183.0,3530,20.1,79,mercedes benz 300d,2
125,1,23.0,8,350.0,3900,17.4,79,cadillac eldorado,2
71,2,27.2,4,141.0,3190,24.8,79,peugeot 504,2
90,1,23.9,8,260.0,3420,22.2,79,oldsmobile cutlass salon brougham,2
70,1,34.2,4,105.0,2200,13.2,79,plymouth horizon,2
70,1,34.5,4,105.0,2150,14.9,79,plymouth horizon tc3,2
65,3,31.8,4,85.0,2020,19.2,79,datsun 210,2
69,2,37.3,4,91.0,2130,14.7,79,fiat strada custom,2
90,1,28.4,4,151.0,2670,16.0,79,buick skylark limited,2
115,1,28.8,6,173.0,2595,11.3,79,chevrolet citation,2
115,1,26.8,6,173.0,2700,12.9,79,oldsmobile omega brougham,2
90,1,33.5,4,151.0,2556,13.2,79,pontiac phoenix,2
76,2,41.5,4,98.0,2144,14.7,80,vw rabbit,2
60,3,38.1,4,89.0,1968,18.8,80,toyota corolla tercel,2
70,1,32.1,4,98.0,2120,15.5,80,chevrolet chevette,2
65,3,37.2,4,86.0,2019,16.4,80,datsun 310,2
90,1,28.0,4,151.0,2678,16.5,80,chevrolet citation,2
88,1,26.4,4,140.0,2870,18.1,80,ford fairmont,2
90,1,24.3,4,151.0,3003,20.1,80,amc concord,2
90,1,19.1,6,225.0,3381,18.7,80,dodge aspen,2
78,2,34.3,4,97.0,2188,15.8,80,audi 4000,2
90,3,29.8,4,134.0,2711,15.5,80,toyota corona liftback,2
75,3,31.3,4,120.0,2542,17.5,80,mazda 626,2
92,3,37.0,4,119.0,2434,15.0,80,datsun 510 hatchback,2
75,3,32.2,4,108.0,2265,15.2,80,toyota corolla,2
65,3,46.6,4,86.0,2110,17.9,80,mazda glc,2
105,1,27.9,4,156.0,2800,14.4,80,dodge colt,2
65,3,40.8,4,85.0,2110,19.2,80,datsun 210,2
48,2,44.3,4,90.0,2085,21.7,80,vw rabbit c (diesel),2
48,2,43.4,4,90.0,2335,23.7,80,vw dasher (diesel),2
67,2,36.4,5,121.0,2950,19.9,80,audi 5000s (diesel),2
67,2,30.0,4,146.0,3250,21.8,80,mercedes-benz 240d,2
67,3,44.6,4,91.0,1850,13.8,80,honda civic 1500 gl,2
150,2,40.9,4,85.0,1835,17.3,80,renault lecar deluxe,2
67,3,33.8,4,97.0,2145,18.0,80,subaru dl,2
62,2,29.8,4,89.0,1845,15.3,80,vokswagen rabbit,2
132,3,32.7,6,168.0,2910,11.4,80,datsun 280-zx,2
100,3,23.7,3,70.0,2420,12.5,80,mazda rx-7 gs,2
88,2,35.0,4,122.0,2500,15.1,80,triumph tr7 coupe,2
150,1,23.6,4,140.0,2905,14.3,80,ford mustang cobra,2
72,3,32.4,4,107.0,2290,17.0,80,honda accord,2
84,1,27.2,4,135.0,2490,15.7,81,plymouth reliant,2
84,1,26.6,4,151.0,2635,16.4,81,buick skylark,2
92,1,25.8,4,156.0,2620,14.4,81,dodge aries wagon (sw),2
110,1,23.5,6,173.0,2725,12.6,81,chevrolet citation,2
84,1,30.0,4,135.0,2385,12.9,81,plymouth reliant,2
58,3,39.1,4,79.0,1755,16.9,81,toyota starlet,2
64,1,39.0,4,86.0,1875,16.4,81,plymouth champ,2
60,3,35.1,4,81.0,1760,16.1,81,honda civic 1300,2
67,3,32.3,4,97.0,2065,17.8,81,subaru,2
65,3,37.0,4,85.0,1975,19.4,81,datsun 210 mpg,2
62,3,37.7,4,89.0,2050,17.3,81,toyota tercel,2
68,3,34.1,4,91.0,1985,16.0,81,mazda glc 4,2
63,1,34.7,4,105.0,2215,14.9,81,plymouth horizon 4,2
65,1,34.4,4,98.0,2045,16.2,81,ford escort 4w,2
65,1,29.9,4,98.0,2380,20.7,81,ford escort 2h,2
74,2,33.0,4,105.0,2190,14.2,81,volkswagen jetta,2
150,2,34.5,4,100.0,2320,15.8,81,renault 18i,2
75,3,33.7,4,107.0,2210,14.4,81,honda prelude,2
75,3,32.4,4,108.0,2350,16.8,81,toyota corolla,2
100,3,32.9,4,119.0,2615,14.8,81,datsun 200sx,2
74,3,31.6,4,120.0,2635,18.3,81,mazda 626,2
80,2,28.1,4,141.0,3230,20.4,81,peugeot 505s turbo diesel,2
76,2,30.7,6,145.0,3160,19.6,81,volvo diesel,2
116,3,25.4,6,168.0,2900,12.6,81,toyota cressida,2
120,3,24.2,6,146.0,2930,13.8,81,datsun 810 maxima,2
110,1,22.4,6,231.0,3415,15.8,81,buick century,2
105,1,26.6,8,350.0,3725,19.0,81,oldsmobile cutlass ls,2
88,1,20.2,6,200.0,3060,17.1,81,ford granada gl,2
85,1,17.6,6,225.0,3465,16.6,81,chrysler lebaron salon,2
88,1,28.0,4,112.0,2605,19.6,82,chevrolet cavalier,2
88,1,27.0,4,112.0,2640,18.6,82,chevrolet cavalier wagon,2
88,1,34.0,4,112.0,2395,18.0,82,chevrolet cavalier 2-door,2
85,1,31.0,4,112.0,2575,16.2,82,pontiac j2000 se hatchback,2
84,1,29.0,4,135.0,2525,16.0,82,dodge aries se,2
90,1,27.0,4,151.0,2735,18.0,82,pontiac phoenix,2
92,1,24.0,4,140.0,2865,16.4,82,ford fairmont futura,2
150,1,23.0,4,151.0,3035,20.5,82,amc concord dl,2
74,2,36.0,4,105.0,1980,15.3,82,volkswagen rabbit l,2
68,3,37.0,4,91.0,2025,18.2,82,mazda glc custom l,2
68,3,31.0,4,91.0,1970,17.6,82,mazda glc custom,2
63,1,38.0,4,105.0,2125,14.7,82,plymouth horizon miser,2
70,1,36.0,4,98.0,2125,17.3,82,mercury lynx l,2
88,3,36.0,4,120.0,2160,14.5,82,nissan stanza xe,2
75,3,36.0,4,107.0,2205,14.5,82,honda accord,2
70,3,34.0,4,108.0,2245,16.9,82,toyota corolla,2
67,3,38.0,4,91.0,1965,15.0,82,honda civic,2
67,3,32.0,4,91.0,1965,15.7,82,honda civic (auto),2
67,3,38.0,4,91.0,1995,16.2,82,datsun 310 gx,2
110,1,25.0,6,181.0,2945,16.4,82,buick century limited,2
85,1,38.0,6,262.0,3015,17.0,82,oldsmobile cutlass ciera (diesel),2
92,1,26.0,4,156.0,2585,14.5,82,chrysler lebaron medallion,2
112,1,22.0,6,232.0,2835,14.7,82,ford granada l,2
96,3,32.0,4,144.0,2665,13.9,82,toyota celica gt,2
84,1,36.0,4,135.0,2370,13.0,82,dodge charger 2.2,2
90,1,27.0,4,151.0,2950,17.3,82,chevrolet camaro,2
86,1,27.0,4,140.0,2790,15.6,82,ford mustang gl,2
52,2,44.0,4,97.0,2130,24.6,82,vw pickup,2
84,1,32.0,4,135.0,2295,11.6,82,dodge rampage,2
79,1,28.0,4,120.0,2625,18.6,82,ford ranger,2
82,1,31.0,4,119.0,2720,19.4,82,chevy s-10,2
