horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name,other
122,3.0,20.0,6.0,156.0,2807.0,13.5,73.0,toyota mark ii,1
180,1.0,11.0,8.0,350.0,3664.0,11.0,73.0,oldsmobile omega,1
95,1.0,20.0,6.0,198.0,3102.0,16.5,74.0,plymouth duster,1
150,1.0,21.0,6.0,200.0,2875.0,17.0,74.0,ford maverick,1
100,1.0,19.0,6.0,232.0,2901.0,16.0,74.0,amc hornet,1
100,1.0,15.0,6.0,250.0,3336.0,17.0,74.0,chevrolet nova,1
67,3.0,31.0,4.0,79.0,1950.0,19.0,74.0,datsun b210,1
80,1.0,26.0,4.0,122.0,2451.0,16.5,74.0,ford pinto,1
65,3.0,32.0,4.0,71.0,1836.0,21.0,74.0,toyota corolla 1200,1
75,1.0,25.0,4.0,140.0,2542.0,17.0,74.0,chevrolet vega,1
100,1.0,16.0,6.0,250.0,3781.0,17.0,74.0,chevrolet chevelle malibu classic,1
110,1.0,16.0,6.0,258.0,3632.0,18.0,74.0,amc matador,1
105,1.0,18.0,6.0,225.0,3613.0,16.5,74.0,plymouth satellite sebring,1
140,1.0,16.0,8.0,302.0,4141.0,14.0,74.0,ford gran torino,1
150,1.0,13.0,8.0,350.0,4699.0,14.5,74.0,buick century luxus (sw),1
150,1.0,14.0,8.0,318.0,4457.0,13.5,74.0,dodge coronet custom (sw),1
140,1.0,14.0,8.0,302.0,4638.0,16.0,74.0,ford gran torino (sw),1
150,1.0,14.0,8.0,304.0,4257.0,15.5,74.0,amc matador (sw),1
83,2.0,29.0,4.0,98.0,2219.0,16.5,74.0,audi fox,1
67,1.0,26.0,4.0,79.0,1963.0,15.5,74.0,volkswagen dasher,1
78,2.0,26.0,4.0,97.0,2300.0,14.5,74.0,opel manta,1
52,3.0,31.0,4.0,76.0,1649.0,16.5,74.0,toyota corona,1
61,3.0,32.0,4.0,83.0,2003.0,19.0,74.0,datsun 710,1
75,1.0,28.0,4.0,90.0,2125.0,14.5,74.0,dodge colt,1
150,2.0,24.0,4.0,90.0,2108.0,15.5,74.0,fiat 128,1
75,2.0,26.0,4.0,116.0,2246.0,14.0,74.0,fiat 124 tc,1
97,3.0,24.0,4.0,120.0,2489.0,15.0,74.0,honda civic,1
93,3.0,26.0,4.0,108.0,2391.0,15.5,74.0,subaru,1
67,2.0,31.0,4.0,79.0,2000.0,16.0,74.0,fiat x1.9,1
95,1.0,19.0,6.0,225.0,3264.0,16.0,75.0,plymouth valiant custom,1
105,1.0,18.0,6.0,250.0,3459.0,16.0,75.0,chevrolet nova,1
72,1.0,15.0,6.0,250.0,3432.0,21.0,75.0,mercury monarch,1
72,1.0,15.0,6.0,250.0,3158.0,19.5,75.0,ford maverick,1
170,1.0,16.0,8.0,400.0,4668.0,11.5,75.0,pontiac catalina,1
145,1.0,15.0,8.0,350.0,4440.0,14.0,75.0,chevrolet bel air,1
150,1.0,16.0,8.0,318.0,4498.0,14.5,75.0,plymouth grand fury,1
148,1.0,14.0,8.0,351.0,4657.0,13.5,75.0,ford ltd,1
110,1.0,17.0,6.0,231.0,3907.0,21.0,75.0,buick century,1
105,1.0,16.0,6.0,250.0,3897.0,18.5,75.0,chevroelt chevelle malibu,1
110,1.0,15.0,6.0,258.0,3730.0,19.0,75.0,amc matador,1
95,1.0,18.0,6.0,225.0,3785.0,19.0,75.0,plymouth fury,1
110,1.0,21.0,6.0,231.0,3039.0,15.0,75.0,buick skyhawk,1
110,1.0,20.0,8.0,262.0,3221.0,13.5,75.0,chevrolet monza 2+2,1
129,1.0,13.0,8.0,302.0,3169.0,12.0,75.0,ford mustang ii,1
150,3.0,29.0,4.0,97.0,2171.0,16.0,75.0,toyota corolla,1
83,1.0,23.0,4.0,140.0,2639.0,17.0,75.0,ford pinto,1
100,1.0,20.0,6.0,232.0,2914.0,16.0,75.0,amc gremlin,1
78,1.0,23.0,4.0,140.0,2592.0,18.5,75.0,pontiac astro,1
96,3.0,24.0,4.0,134.0,2702.0,13.5,75.0,toyota corona,1
71,2.0,25.0,4.0,90.0,2223.0,16.5,75.0,volkswagen dasher,1
97,3.0,24.0,4.0,119.0,2545.0,17.0,75.0,datsun 710,1
97,1.0,18.0,6.0,171.0,2984.0,14.5,75.0,ford pinto,1
70,2.0,29.0,4.0,90.0,1937.0,14.0,75.0,volkswagen rabbit,1
90,1.0,19.0,6.0,232.0,3211.0,17.0,75.0,amc pacer,1
95,2.0,23.0,4.0,115.0,2694.0,15.0,75.0,audi 100ls,1
88,1.0,23.0,4.0,120.0,2957.0,17.0,75.0,peugeot 504,1
98,2.0,22.0,4.0,121.0,2945.0,14.5,75.0,volvo 244dl,1
115,2.0,25.0,4.0,121.0,2671.0,13.5,75.0,saab 99le,1
53,3.0,33.0,4.0,91.0,1795.0,17.5,75.0,honda civic cvcc,1
86,2.0,28.0,4.0,107.0,2464.0,15.5,76.0,fiat 131,1
81,2.0,25.0,4.0,116.0,2220.0,16.9,76.0,opel 1900,1
92,1.0,25.0,4.0,140.0,2572.0,14.9,76.0,capri ii,1
79,1.0,26.0,4.0,98.0,2255.0,17.7,76.0,dodge colt,1
83,2.0,27.0,4.0,101.0,2202.0,15.3,76.0,renault 12tl,1
140,1.0,17.5,8.0,305.0,4215.0,13.0,76.0,chevrolet chevelle malibu classic,1
150,1.0,16.0,8.0,318.0,4190.0,13.0,76.0,dodge coronet brougham,1
150,1.0,15.5,8.0,304.0,3962.0,13.9,76.0,amc matador,1
152,1.0,14.5,8.0,351.0,4215.0,12.8,76.0,ford gran torino,1
100,1.0,22.0,6.0,225.0,3233.0,15.4,76.0,plymouth valiant,1
105,1.0,22.0,6.0,250.0,3353.0,14.5,76.0,chevrolet nova,1
81,1.0,24.0,6.0,200.0,3012.0,17.6,76.0,ford maverick,1
90,1.0,22.5,6.0,232.0,3085.0,17.6,76.0,amc hornet,1
52,1.0,29.0,4.0,85.0,2035.0,22.2,76.0,chevrolet chevette,1
60,1.0,24.5,4.0,98.0,2164.0,22.1,76.0,chevrolet woody,1
70,2.0,29.0,4.0,90.0,1937.0,14.2,76.0,vw rabbit,1
53,3.0,33.0,4.0,91.0,1795.0,17.4,76.0,honda civic,1
150,1.0,20.0,6.0,225.0,3651.0,17.7,76.0,dodge aspen se,1
78,1.0,18.0,6.0,250.0,3574.0,21.0,76.0,ford granada ghia,1
110,1.0,18.5,6.0,250.0,3645.0,16.2,76.0,pontiac ventura sj,1
95,1.0,17.5,6.0,258.0,3193.0,17.8,76.0,amc pacer d/l,1
71,2.0,29.5,4.0,97.0,1825.0,12.2,76.0,volkswagen rabbit,1
70,3.0,32.0,4.0,85.0,1990.0,17.0,76.0,datsun b-210,1
75,3.0,28.0,4.0,97.0,2155.0,16.4,76.0,toyota corolla,1
72,1.0,26.5,4.0,140.0,2565.0,13.6,76.0,ford pinto,1
102,2.0,20.0,4.0,130.0,3150.0,15.7,76.0,volvo 245,1
150,1.0,13.0,8.0,318.0,3940.0,13.2,76.0,plymouth volare premier v8,1
88,1.0,19.0,4.0,120.0,3270.0,21.9,76.0,peugeot 504,1
108,3.0,19.0,6.0,156.0,2930.0,15.5,76.0,toyota mark ii,1
120,2.0,16.5,6.0,168.0,3820.0,16.7,76.0,mercedes-benz 280s,1
180,1.0,16.5,8.0,350.0,4380.0,12.1,76.0,cadillac seville,1
145,1.0,13.0,8.0,350.0,4055.0,12.0,76.0,chevy c10,1
130,1.0,13.0,8.0,302.0,3870.0,15.0,76.0,ford f108,1
150,1.0,13.0,8.0,318.0,3755.0,14.0,76.0,dodge d100,1
68,3.0,31.5,4.0,98.0,2045.0,18.5,77.0,honda accord cvcc,1
80,1.0,30.0,4.0,111.0,2155.0,14.8,77.0,buick opel isuzu deluxe,1
58,2.0,36.0,4.0,79.0,1825.0,18.6,77.0,renault 5 gtl,1
96,1.0,25.5,4.0,122.0,2300.0,15.5,77.0,plymouth arrow gs,1
70,3.0,33.5,4.0,85.0,1945.0,16.8,77.0,datsun f-10 hatchback,1
145,1.0,17.5,8.0,305.0,3880.0,12.5,77.0,chevrolet caprice classic,1
150,1.0,17.0,8.0,260.0,4060.0,19.0,77.0,oldsmobile cutlass supreme,1
145,1.0,15.5,8.0,318.0,4140.0,13.7,77.0,dodge monaco brougham,1
130,1.0,15.0,8.0,302.0,4295.0,14.9,77.0,mercury cougar brougham,1
110,1.0,17.5,6.0,250.0,3520.0,16.4,77.0,chevrolet concours,1
105,1.0,20.5,6.0,231.0,3425.0,16.9,77.0,buick skylark,1
100,1.0,19.0,6.0,225.0,3630.0,17.7,77.0,plymouth volare custom,1
98,1.0,18.5,6.0,250.0,3525.0,19.0,77.0,ford granada,1
180,1.0,16.0,8.0,400.0,4220.0,11.1,77.0,pontiac grand prix lj,1
170,1.0,15.5,8.0,350.0,4165.0,11.4,77.0,chevrolet monte carlo landau,1
190,1.0,15.5,8.0,400.0,4325.0,12.2,77.0,chrysler cordoba,1
149,1.0,16.0,8.0,351.0,4335.0,14.5,77.0,ford thunderbird,1
78,2.0,29.0,4.0,97.0,1940.0,14.5,77.0,volkswagen rabbit custom,1
88,1.0,24.5,4.0,151.0,2740.0,16.0,77.0,pontiac sunbird coupe,1
75,3.0,26.0,4.0,97.0,2265.0,18.2,77.0,toyota corolla liftback,1
89,1.0,25.5,4.0,140.0,2755.0,15.8,77.0,ford mustang ii 2+2,1
63,1.0,30.5,4.0,98.0,2051.0,17.0,77.0,chevrolet chevette,1
83,1.0,33.5,4.0,98.0,2075.0,15.9,77.0,dodge colt m/m,1
67,3.0,30.0,4.0,97.0,1985.0,16.4,77.0,subaru dl,1
78,2.0,30.5,4.0,97.0,2190.0,14.1,77.0,volkswagen dasher,1
97,1.0,22.0,6.0,146.0,2815.0,14.5,77.0,datsun 810,1
110,2.0,21.5,4.0,121.0,2600.0,12.8,77.0,bmw 320i,1
110,3.0,21.5,3.0,80.0,2720.0,13.5,77.0,mazda rx-4,1
48,2.0,43.1,4.0,90.0,1985.0,21.5,78.0,volkswagen rabbit custom diesel,1
66,1.0,36.1,4.0,98.0,1800.0,14.4,78.0,ford fiesta,1
52,3.0,32.8,4.0,78.0,1985.0,19.4,78.0,mazda glc deluxe,1
70,3.0,39.4,4.0,85.0,2070.0,18.6,78.0,datsun b210 gx,1
60,3.0,36.1,4.0,91.0,1800.0,16.4,78.0,honda civic cvcc,1
110,1.0,19.9,8.0,260.0,3365.0,15.5,78.0,oldsmobile cutlass salon brougham,1
140,1.0,19.4,8.0,318.0,3735.0,13.2,78.0,dodge diplomat,1
139,1.0,20.2,8.0,302.0,3570.0,12.8,78.0,mercury monarch ghia,1
105,1.0,19.2,6.0,231.0,3535.0,19.2,78.0,pontiac phoenix lj,1
95,1.0,20.5,6.0,200.0,3155.0,18.2,78.0,chevrolet malibu,1
85,1.0,20.2,6.0,200.0,2965.0,15.8,78.0,ford fairmont (auto),1
88,1.0,25.1,4.0,140.0,2720.0,15.4,78.0,ford fairmont (man),1
100,1.0,20.5,6.0,225.0,3430.0,17.2,78.0,plymouth volare,1
90,1.0,19.4,6.0,232.0,3210.0,17.2,78.0,amc concord,1
105,1.0,20.6,6.0,231.0,3380.0,15.8,78.0,buick century special,1
85,1.0,20.8,6.0,200.0,3070.0,16.7,78.0,mercury zephyr,1
110,1.0,18.6,6.0,225.0,3620.0,18.7,78.0,dodge aspen,1
120,1.0,18.1,6.0,258.0,3410.0,15.1,78.0,amc concord d/l,1
145,1.0,19.2,8.0,305.0,3425.0,13.2,78.0,chevrolet monte carlo landau,1
165,1.0,17.7,6.0,231.0,3445.0,13.4,78.0,buick regal sport coupe (turbo),1
139,1.0,18.1,8.0,302.0,3205.0,11.2,78.0,ford futura,1
140,1.0,17.5,8.0,318.0,4080.0,13.7,78.0,dodge magnum xe,1
68,1.0,30.0,4.0,98.0,2155.0,16.5,78.0,chevrolet chevette,1
95,3.0,27.5,4.0,134.0,2560.0,14.2,78.0,toyota corona,1
97,3.0,27.2,4.0,119.0,2300.0,14.7,78.0,datsun 510,1
75,1.0,30.9,4.0,105.0,2230.0,14.5,78.0,dodge omni,1
95,3.0,21.1,4.0,134.0,2515.0,14.8,78.0,toyota celica gt liftback,1
105,1.0,23.2,4.0,156.0,2745.0,16.7,78.0,plymouth sapporo,1
85,1.0,23.8,4.0,151.0,2855.0,17.6,78.0,oldsmobile starfire sx,1
97,3.0,23.9,4.0,119.0,2405.0,14.9,78.0,datsun 200-sx,1
103,2.0,20.3,5.0,131.0,2830.0,15.9,78.0,audi 5000,1
125,2.0,17.0,6.0,163.0,3140.0,13.6,78.0,volvo 264gl,1
115,2.0,21.6,4.0,121.0,2795.0,15.7,78.0,saab 99gle,1
133,2.0,16.2,6.0,163.0,3410.0,15.8,78.0,peugeot 604sl,1
71,2.0,31.5,4.0,89.0,1990.0,14.9,78.0,volkswagen scirocco,1
68,3.0,29.5,4.0,98.0,2135.0,16.6,78.0,honda accord lx,1
115,1.0,21.5,6.0,231.0,3245.0,15.4,79.0,pontiac lemans v6,1
85,1.0,19.8,6.0,200.0,2990.0,18.2,79.0,mercury zephyr 6,1
88,1.0,22.3,4.0,140.0,2890.0,17.3,79.0,ford fairmont 4,1
90,1.0,20.2,6.0,232.0,3265.0,18.2,79.0,amc concord dl 6,1
110,1.0,20.6,6.0,225.0,3360.0,16.6,79.0,dodge aspen 6,1
130,1.0,17.0,8.0,305.0,3840.0,15.4,79.0,chevrolet caprice classic,1
129,1.0,17.6,8.0,302.0,3725.0,13.4,79.0,ford ltd landau,1
138,1.0,16.5,8.0,351.0,3955.0,13.2,79.0,mercury grand marquis,1
135,1.0,18.2,8.0,318.0,3830.0,15.2,79.0,dodge st. regis,1
155,1.0,16.9,8.0,350.0,4360.0,14.9,79.0,buick estate wagon (sw),1
142,1.0,15.5,8.0,351.0,4054.0,14.3,79.0,ford country squire (sw),1
125,1.0,19.2,8.0,267.0,3605.0,15.0,79.0,chevrolet malibu classic (sw),1
150,1.0,18.5,8.0,360.0,3940.0,13.0,79.0,chrysler lebaron town @ country (sw),1
71,2.0,31.9,4.0,89.0,1925.0,14.0,79.0,vw rabbit custom,1
65,3.0,34.1,4.0,86.0,1975.0,15.2,79.0,maxda glc deluxe,1
80,1.0,35.7,4.0,98.0,1915.0,14.4,79.0,dodge colt hatchback custom,1
80,1.0,27.4,4.0,121.0,2670.0,15.0,79.0,amc spirit dl,1
77,2.0,25.4,5.0,183.0,3530.0,20.1,79.0,mercedes benz 300d,1
125,1.0,23.0,8.0,350.0,3900.0,17.4,79.0,cadillac eldorado,1
71,2.0,27.2,4.0,141.0,3190.0,24.8,79.0,peugeot 504,1
90,1.0,23.9,8.0,260.0,3420.0,22.2,79.0,oldsmobile cutlass salon brougham,1
70,1.0,34.2,4.0,105.0,2200.0,13.2,79.0,plymouth horizon,1
70,1.0,34.5,4.0,105.0,2150.0,14.9,79.0,plymouth horizon tc3,1
65,3.0,31.8,4.0,85.0,2020.0,19.2,79.0,datsun 210,1
69,2.0,37.3,4.0,91.0,2130.0,14.7,79.0,fiat strada custom,1
90,1.0,28.4,4.0,151.0,2670.0,16.0,79.0,buick skylark limited,1
115,1.0,28.8,6.0,173.0,2595.0,11.3,79.0,chevrolet citation,1
115,1.0,26.8,6.0,173.0,2700.0,12.9,79.0,oldsmobile omega brougham,1
90,1.0,33.5,4.0,151.0,2556.0,13.2,79.0,pontiac phoenix,1
76,2.0,41.5,4.0,98.0,2144.0,14.7,80.0,vw rabbit,1
60,3.0,38.1,4.0,89.0,1968.0,18.8,80.0,toyota corolla tercel,1
70,1.0,32.1,4.0,98.0,2120.0,15.5,80.0,chevrolet chevette,1
65,3.0,37.2,4.0,86.0,2019.0,16.4,80.0,datsun 310,1
90,1.0,28.0,4.0,151.0,2678.0,16.5,80.0,chevrolet citation,1
88,1.0,26.4,4.0,140.0,2870.0,18.1,80.0,ford fairmont,1
90,1.0,24.3,4.0,151.0,3003.0,20.1,80.0,amc concord,1
90,1.0,19.1,6.0,225.0,3381.0,18.7,80.0,dodge aspen,1
78,2.0,34.3,4.0,97.0,2188.0,15.8,80.0,audi 4000,1
90,3.0,29.8,4.0,134.0,2711.0,15.5,80.0,toyota corona liftback,1
75,3.0,31.3,4.0,120.0,2542.0,17.5,80.0,mazda 626,1
92,3.0,37.0,4.0,119.0,2434.0,15.0,80.0,datsun 510 hatchback,1
75,3.0,32.2,4.0,108.0,2265.0,15.2,80.0,toyota corolla,1
65,3.0,46.6,4.0,86.0,2110.0,17.9,80.0,mazda glc,1
105,1.0,27.9,4.0,156.0,2800.0,14.4,80.0,dodge colt,1
65,3.0,40.8,4.0,85.0,2110.0,19.2,80.0,datsun 210,1
48,2.0,44.3,4.0,90.0,2085.0,21.7,80.0,vw rabbit c (diesel),1
48,2.0,43.4,4.0,90.0,2335.0,23.7,80.0,vw dasher (diesel),1
67,2.0,36.4,5.0,121.0,2950.0,19.9,80.0,audi 5000s (diesel),1
67,2.0,30.0,4.0,146.0,3250.0,21.8,80.0,mercedes-benz 240d,1
67,3.0,44.6,4.0,91.0,1850.0,13.8,80.0,honda civic 1500 gl,1
150,2.0,40.9,4.0,85.0,1835.0,17.3,80.0,renault lecar deluxe,1
67,3.0,33.8,4.0,97.0,2145.0,18.0,80.0,subaru dl,1
62,2.0,29.8,4.0,89.0,1845.0,15.3,80.0,vokswagen rabbit,1
132,3.0,32.7,6.0,168.0,2910.0,11.4,80.0,datsun 280-zx,1
100,3.0,23.7,3.0,70.0,2420.0,12.5,80.0,mazda rx-7 gs,1
